striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
Aaron Jones,Nepal,80,126,5,63.49206349206349,16.0
Aaron Jones,Netherlands,8,22,1,36.36363636363637,8.0
Aaron Jones,Oman,159,231,3,68.83116883116884,53.0
Aaron Jones,Papua New Guinea,266,395,9,67.34177215189874,29.555555555555557
Aaron Jones,Scotland,332,411,5,80.7785888077859,66.4
Aaron Jones,United Arab Emirates,374,491,8,76.17107942973523,46.75
Aaron Jones,West Indies,23,32,1,71.875,23.0
Aaron Jones,Zimbabwe,8,12,0,66.66666666666666,
Aasif Sheikh,India,58,97,1,59.79381443298969,58.0
Aasif Sheikh,Namibia,156,220,6,70.9090909090909,26.0
Aasif Sheikh,Netherlands,0,2,1,0.0,0.0
Aasif Sheikh,Oman,192,258,4,74.4186046511628,48.0
Aasif Sheikh,Pakistan,5,5,1,100.0,5.0
Aasif Sheikh,Papua New Guinea,300,371,5,80.86253369272237,60.0
Aasif Sheikh,Scotland,140,176,6,79.54545454545455,23.333333333333332
Aasif Sheikh,United Arab Emirates,144,209,10,68.89952153110048,14.4
Aasif Sheikh,United States of America,117,159,5,73.58490566037736,23.4
Aasif Sheikh,West Indies,28,37,1,75.67567567567568,28.0
Aasif Sheikh,Zimbabwe,66,103,1,64.07766990291263,66.0
Aayan Afzal Khan,Ireland,0,2,1,0.0,0.0
Aayan Afzal Khan,Jersey,43,50,0,86.0,
Aayan Afzal Khan,Namibia,35,54,0,64.81481481481481,
Aayan Afzal Khan,Nepal,121,160,7,75.625,17.285714285714285
Aayan Afzal Khan,Oman,68,63,1,107.93650793650794,68.0
Aayan Afzal Khan,Papua New Guinea,121,138,3,87.68115942028986,40.333333333333336
Aayan Afzal Khan,Scotland,21,24,1,87.5,21.0
Aayan Afzal Khan,Sri Lanka,5,17,1,29.411764705882355,5.0
Aayan Afzal Khan,United States of America,0,2,1,0.0,0.0
Aayan Afzal Khan,West Indies,36,53,2,67.9245283018868,18.0
Abdul Jabbar,Kenya,59,86,2,68.6046511627907,29.5
Abdul Rahman Rahmani,Bangladesh,4,20,1,20.0,4.0
Abdul Rahman Rahmani,Pakistan,6,17,1,35.294117647058826,6.0
Abdul Razzaq,Africa XI,38,80,1,47.5,38.0
Abdul Razzaq,Australia,142,155,3,91.61290322580645,47.333333333333336
Abdul Razzaq,Bangladesh,49,38,1,128.94736842105263,49.0
Abdul Razzaq,Canada,8,9,1,88.88888888888889,8.0
Abdul Razzaq,England,354,329,10,107.59878419452889,35.4
Abdul Razzaq,India,423,466,15,90.77253218884121,28.2
Abdul Razzaq,Kenya,15,21,0,71.42857142857143,
Abdul Razzaq,Namibia,4,2,1,200.0,4.0
Abdul Razzaq,Netherlands,47,64,1,73.4375,47.0
Abdul Razzaq,New Zealand,288,287,9,100.34843205574913,32.0
Abdul Razzaq,South Africa,347,380,14,91.3157894736842,24.785714285714285
Abdul Razzaq,Sri Lanka,319,516,11,61.82170542635659,29.0
Abdul Razzaq,West Indies,110,166,7,66.26506024096386,15.714285714285714
Abdul Razzaq,Zimbabwe,183,176,0,103.97727272727273,
Abdul Shakoor,Hong Kong,24,42,1,57.14285714285714,24.0
Abdul Shakoor,Nepal,10,24,1,41.66666666666667,10.0
Abdullah Shafique,Netherlands,2,5,1,40.0,2.0
Abdullah Shafique,New Zealand,26,38,2,68.42105263157895,13.0
Abdullah Shafique,Sri Lanka,52,71,1,73.23943661971832,52.0
Abdur Razzak,Afghanistan,0,1,1,0.0,0.0
Abdur Razzak,Australia,33,87,5,37.93103448275862,6.6
Abdur Razzak,England,66,91,5,72.52747252747253,13.2
Abdur Razzak,India,34,39,2,87.17948717948718,17.0
Abdur Razzak,Ireland,22,40,2,55.00000000000001,11.0
Abdur Razzak,Kenya,14,23,0,60.86956521739131,
Abdur Razzak,New Zealand,54,71,7,76.05633802816901,7.714285714285714
Abdur Razzak,Pakistan,99,155,7,63.87096774193548,14.142857142857142
Abdur Razzak,South Africa,26,34,5,76.47058823529412,5.2
Abdur Razzak,Sri Lanka,102,117,6,87.17948717948718,17.0
Abdur Razzak,West Indies,73,124,6,58.87096774193549,12.166666666666666
Abdur Razzak,Zimbabwe,121,99,7,122.22222222222223,17.285714285714285
