striker,bowler,runs_scored,balls_faced,dismissals,strike_rate,average
A Balbirnie,K Rabada,15,27,2,55.55555555555556,7.5
A Balbirnie,KA Maharaj,48,64,1,75.0,48.0
A Balbirnie,KAJ Roach,45,50,1,90.0,45.0
A Balbirnie,KJ Abbott,2,7,0,28.57142857142857,
A Balbirnie,KM Jarvis,15,24,1,62.5,15.0
A Balbirnie,KMA Paul,8,6,0,133.33333333333331,
A Balbirnie,KP Meiyappan,31,31,0,100.0,
A Balbirnie,Karan KC,1,2,0,50.0,
A Balbirnie,Kashif Daud,11,17,0,64.70588235294117,
A Balbirnie,Krishna Chandran,5,6,0,83.33333333333334,
A Balbirnie,L Ngidi,4,3,0,133.33333333333331,
A Balbirnie,LE Plunkett,19,26,1,73.07692307692307,19.0
A Balbirnie,LH Ferguson,2,5,0,40.0,
A Balbirnie,LM Jongwe,20,41,1,48.78048780487805,20.0
A Balbirnie,LV van Beek,10,17,1,58.82352941176471,10.0
A Balbirnie,M Morkel,21,27,1,77.77777777777779,21.0
A Balbirnie,MA Leask,30,35,0,85.71428571428571,
A Balbirnie,MA Wood,1,2,0,50.0,
A Balbirnie,MD Dai,4,8,0,50.0,
A Balbirnie,MD Shanaka,1,2,0,50.0,
A Balbirnie,MJ Henry,8,14,3,57.14285714285714,2.6666666666666665
A Balbirnie,MJ Potts,6,7,0,85.71428571428571,
A Balbirnie,MJ Santner,11,17,1,64.70588235294117,11.0
A Balbirnie,MM Ali,32,25,0,128.0,
A Balbirnie,MM Sharma,6,7,0,85.71428571428571,
A Balbirnie,MP O'Dowd,3,13,0,23.076923076923077,
A Balbirnie,MRJ Watt,58,74,1,78.37837837837837,58.0
A Balbirnie,Mashrafe Mortaza,1,11,0,9.090909090909092,
A Balbirnie,Mehedi Hasan Miraz,7,13,0,53.84615384615385,
A Balbirnie,Mirwais Ashraf,0,1,0,0.0,
A Balbirnie,Mohammad Nabi,93,115,4,80.8695652173913,23.25
A Balbirnie,Mohammad Nadeem,4,9,0,44.44444444444444,
